City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ciudad bolivar,8.1222,-63.5497,33.75,36,98,4.97,VE,1737658220
83,hasaki,35.7333,140.8333,9.43,67,6,3.64,JP,1737658221
84,touros,-5.1989,-35.4608,28.51,60,59,5.44,BR,1737658222
85,hamilton,39.1834,-84.5333,0.33,67,100,4.12,US,1737657747
86,badger,64.8,-147.5333,-5.57,92,75,0.0,US,1737658224
87,nouadhibou,20.931,-17.0347,20.99,64,0,9.77,MR,1737658227
88,hithadhoo,-0.6,73.0833,27.53,76,100,6.37,MV,1737658228
89,lagrange,33.0393,-85.0313,2.43,41,0,2.57,US,1737658229
90,crane,31.3974,-102.3501,6.06,24,0,4.02,US,1737658230
91,aasiaat,68.7098,-52.8699,-19.9,79,100,2.01,GL,1737658231
92,dobrotesti,44.2833,24.8833,6.64,79,27,0.46,RO,1737658233
93,port mathurin,-19.6833,63.4167,26.35,71,12,7.66,MU,1737658234
94,aldama,22.9167,-98.0667,14.84,57,100,1.97,MX,1737658235
95,miri,4.4148,114.0089,23.08,100,40,2.57,MY,1737658236
96,keflavik,64.0049,-22.5624,1.24,100,100,4.12,IS,1737658237
97,dunedin,-45.8742,170.5036,11.56,91,100,0.97,NZ,1737658062
98,puerto ayora,-0.7393,-90.3518,26.42,89,13,2.68,EC,1737658240
99,invercargill,-46.4,168.35,8.9,97,100,1.66,NZ,1737658241
100,mount gambier,-37.8333,140.7667,9.41,91,86,1.65,AU,1737658243
101,sanming,26.2486,117.6186,11.55,68,40,1.08,CN,1737658244
102,broken hill,-31.95,141.4333,13.86,61,0,8.01,AU,1737658245
103,kardzhali,41.65,25.3667,5.78,90,21,1.81,BG,1737658246
104,lata,40.1629,-8.3327,11.61,92,98,1.2,PT,1737658247
105,fairwood,47.4484,-122.1573,4.46,80,75,0.89,US,1737658248
106,jamestown,42.097,-79.2353,-4.21,56,75,5.14,US,1737658249
107,qujing,25.4833,103.7833,6.9,61,0,2.88,CN,1737658251
108,imbituba,-28.24,-48.6703,26.59,76,0,5.6,BR,1737658252
109,dakhla,23.6848,-15.958,20.01,77,40,6.69,EH,1737658253
110,barranca,-10.75,-77.7667,23.06,73,36,4.95,PE,1737658254
111,haiku-pauwela,20.9219,-156.3051,21.22,96,52,4.47,US,1737658255
112,utrik,11.2278,169.8474,26.19,76,6,9.72,MH,1737658256
113,fale old settlement,-9.3852,-171.2468,27.49,77,28,6.92,TK,1737658257
114,sao joao do paraiso,-15.3136,-42.0144,29.86,42,28,3.59,BR,1737658258
115,smithers,54.7804,-127.1743,-3.82,100,40,1.03,CA,1737658259
116,college,64.8569,-147.8028,-5.52,93,75,0.0,US,1737658260
117,lerwick,60.1545,-1.1494,5.83,72,93,8.3,GB,1737658261
118,tonghae,37.5439,129.1069,0.72,62,27,2.26,KR,1737658262
119,swakopmund,-22.6833,14.5333,19.1,84,33,4.68,NA,1737658263
120,kerikeri,-35.2268,173.9474,13.84,93,100,0.98,NZ,1737658265
121,bhachau,23.2833,70.35,18.56,49,3,4.66,IN,1737658266
122,kuanda,56.3161,116.0806,-24.66,95,97,0.39,RU,1737658267
123,itoman,26.1247,127.6694,18.38,94,86,7.2,JP,1737658268
124,kapa'a,22.0752,-159.319,16.18,77,0,3.6,US,1737658269
125,antsiranana,-12.2787,49.2917,23.94,89,100,1.32,MG,1737658270
126,uturoa,-16.7333,-151.4333,27.05,80,57,6.27,PF,1737658271
127,byerazino,53.8391,28.9879,0.54,97,100,4.42,BY,1737658272
128,broome,42.2506,-75.833,-2.43,44,99,5.36,US,1737658274
129,peterhead,57.5058,-1.7981,5.55,90,100,7.14,GB,1737658275
130,longyearbyen,78.2186,15.6401,-12.09,79,75,3.09,SJ,1737658276
131,enewetak,11.3474,162.3373,26.74,77,66,10.26,MH,1737658277
132,shitanjing,39.2342,106.3439,-0.13,99,100,2.34,CN,1737658278
133,naze,28.3667,129.4833,15.51,90,100,1.44,JP,1737657987
134,porto novo,6.4965,2.6036,27.9,77,95,2.92,BJ,1737658280
135,punta arenas,-53.15,-70.9167,15.06,51,40,17.49,CL,1737658281
136,lashkar gah,31.5938,64.3716,7.59,51,6,2.88,AF,1737658282
137,grand falls-windsor,48.9332,-55.6649,-7.5,71,100,1.79,CA,1737658283
138,bam,29.106,58.357,8.25,24,13,0.87,IR,1737658284
139,kavieng,-2.5744,150.7967,28.43,69,100,4.96,PG,1737658285
140,rongelap,11.1635,166.8941,26.27,77,59,10.07,MH,1737658287
141,villa gesell,-37.2639,-56.973,23.79,66,0,10.12,AR,1737658199
142,avarua,-21.2078,-159.775,28.03,74,20,2.06,CK,1737658289
143,bamboo flat,11.7,92.7167,26.05,73,40,1.03,IN,1737658290
144,thunder bay,48.4001,-89.3168,-17.01,60,100,4.63,CA,1737658292
145,kodiak,57.79,-152.4072,5.73,70,0,2.06,US,1737658293
146,new castle,41.0037,-80.347,-2.62,54,100,4.63,US,1737658294
147,jawf al maqbabah,13.8378,45.8349,18.4,80,60,1.71,YE,1737658296
148,fort st. john,56.2499,-120.8529,0.94,60,40,7.2,CA,1737658032
149,san luis de la loma,17.2706,-100.8939,29.06,51,0,2.93,MX,1737658298
150,santa marta,11.2408,-74.199,34.03,56,20,6.71,CO,1737658299
151,jinan,36.6683,116.9972,3.99,73,100,1.44,CN,1737658214
152,ta`u,-14.2336,-169.5144,28.0,77,21,6.33,AS,1737658301
153,suntar,62.1444,117.6319,-6.72,71,11,6.18,RU,1737658302
154,papatowai,-46.5619,169.4708,10.0,78,100,1.48,NZ,1737658303
155,luis correia,-2.8792,-41.6669,30.0,70,75,7.2,BR,1737658304
156,kailua-kona,19.6406,-155.9956,22.98,82,100,2.06,US,1737658035
157,zeya,53.75,127.2667,-25.86,99,69,1.49,RU,1737658306
158,petropavlovsk-kamchatsky,53.0452,158.6483,-16.67,55,0,4.0,RU,1737658307
159,caconda,-13.7333,15.0667,19.69,56,100,2.86,AO,1737658308
160,masterton,-40.9597,175.6575,15.5,92,92,1.99,NZ,1737658310
161,tshabong,-26.05,22.45,30.98,24,1,2.84,BW,1737658311
162,kayyerkan,69.3786,87.7439,-36.71,98,99,3.18,RU,1737658312
163,namibe,-15.1961,12.1522,22.91,78,58,3.65,AO,1737658314
164,chibougamau,49.9168,-74.3659,-13.21,72,100,3.09,CA,1737658315
165,sooke,48.3746,-123.7276,3.76,88,100,2.57,CA,1737658316
166,mhamid,29.82,-5.72,17.37,17,0,4.14,MA,1737658317
167,atar,20.5169,-13.0499,23.03,21,0,4.07,MR,1737658318
168,taroa,8.7058,171.2275,26.55,78,100,10.35,MH,1737658319
169,kingston,17.997,-76.7936,32.31,66,20,7.72,JM,1737658193
170,san kamphaeng,18.7449,99.1195,18.01,96,0,0.0,TH,1737658322
171,paramonga,-10.6667,-77.8333,23.34,76,35,4.88,PE,1737658323
172,cabo san lucas,22.8909,-109.9124,23.17,52,20,3.09,MX,1737658096
173,aldinga beach,-35.2793,138.4604,14.24,81,2,3.0,AU,1737658325
174,bakanas,44.8081,76.2772,-17.94,80,4,2.8,KZ,1737658326
175,gizo,-8.103,156.8419,28.11,75,100,4.77,SB,1737658327
176,ostersund,63.1792,14.6357,-5.75,93,100,2.06,SE,1737658328
177,lebu,-37.6167,-73.65,17.4,67,71,4.3,CL,1737658329
178,ponta delgada,37.7333,-25.6667,17.4,88,75,10.29,PT,1737658331
179,jiuquan,39.7432,98.5174,-4.53,54,100,5.26,CN,1737658293
180,bel ombre,-4.6167,55.4167,24.91,100,40,2.57,SC,1737658333
181,amahai,-3.3333,128.9167,25.64,83,100,1.82,ID,1737658334
182,mon,26.75,95.1,14.06,82,39,1.39,IN,1737658335
183,elizabeth city,36.2946,-76.2511,1.01,62,0,3.6,US,1737658336
184,howrah,22.5892,88.3103,18.0,94,0,1.54,IN,1737658337
185,kastsyukovichy,53.3516,32.0506,-2.61,93,84,3.47,BY,1737658338
186,bodaybo,57.8506,114.1933,-13.95,96,100,0.38,RU,1737658340
187,charlestown,-32.95,151.6667,20.96,91,99,0.89,AU,1737658342
188,dryden,49.7833,-92.7503,-17.84,60,20,2.57,CA,1737658343
189,christchurch,-43.5333,172.6333,13.84,83,75,3.6,NZ,1737657647
190,the pas,53.8251,-101.2541,-11.99,79,40,4.63,CA,1737658345
191,nikolayevsk-on-amure,53.1406,140.73,-21.0,98,67,1.52,RU,1737658346
192,fristad,65.2,16.7167,-23.85,100,98,0.66,SE,1737658347
193,hirara,24.8,125.2833,17.15,100,20,1.03,JP,1737658348
194,ad dilam,23.9915,47.1627,15.11,36,0,3.78,SA,1737658349
195,port macquarie,-31.4333,152.9167,21.71,99,100,0.45,AU,1737658350
196,ibshaway,29.358,30.6814,16.09,63,8,4.53,EG,1737658351
197,puerto asis,0.5133,-76.5007,34.61,28,63,2.3,CO,1737658352
198,caibarien,22.5206,-79.4669,25.26,76,40,5.6,CU,1737658353
199,port elizabeth,-33.918,25.5701,22.16,93,40,6.17,ZA,1737658354
200,konigsbrunn,48.2667,10.8833,3.44,89,75,3.6,DE,1737658356
201,nova sintra,14.8667,-24.7167,22.08,71,81,13.44,CV,1737658357
202,chapada dos guimaraes,-15.4606,-55.7497,27.05,69,100,0.28,BR,1737658358
203,whitehorse,60.7161,-135.0538,-11.57,92,75,2.06,CA,1737658359
204,atafu village,-8.5421,-172.5159,27.25,76,5,6.45,TK,1737658360
205,tolanaro,-25.0319,46.9987,25.04,94,75,7.2,MG,1737658361
206,fisterra,42.9049,-9.2629,12.95,72,100,7.26,ES,1737658362
207,aridaia,40.9731,22.0564,7.3,61,22,0.46,GR,1737658363
208,margaret river,-33.95,115.0667,23.81,61,84,4.76,AU,1737658364
209,roccella ionica,38.322,16.4009,14.96,74,100,1.71,IT,1737658365
210,amble,55.3333,-1.5833,3.08,100,75,0.51,GB,1737658369
211,ghanzi,-21.5667,21.7833,24.8,45,95,2.87,BW,1737658370
212,primero de mayo,-32.2552,-58.4228,33.79,17,100,3.2,AR,1737658371
213,ar ruseris,11.8659,34.3869,29.47,28,2,5.86,SD,1737658372
214,pingnan,23.5543,110.3976,20.38,76,100,1.69,CN,1737658373
215,burabay,53.0838,70.3138,-28.02,87,100,2.52,KZ,1737658374
216,dem'yanovo,60.3511,47.0842,-5.08,94,100,5.6,RU,1737658375
217,samus',56.7475,84.6992,-22.16,93,100,4.18,RU,1737658376
218,ulanhot,46.0833,122.0833,-10.82,67,0,0.88,CN,1737658377
219,ust-nera,64.5667,143.2,-33.03,100,100,1.47,RU,1737658378
220,vorgashor,67.5833,63.95,-17.95,96,100,1.49,RU,1737658380
221,gijang,35.2442,129.2139,0.85,48,3,3.67,KR,1737658381
222,la passe,45.5549,-0.8967,7.96,83,3,4.09,FR,1737658382
223,shimoda,34.6667,138.95,9.59,63,39,5.91,JP,1737658383
224,sao vicente,-23.9631,-46.3919,29.98,66,20,2.68,BR,1737658384
225,cambria,35.5641,-121.0808,18.74,37,0,1.28,US,1737658385
226,aoulef,26.9667,1.0833,21.77,10,98,3.0,DZ,1737658386
227,archangelos,36.2149,28.1149,12.39,78,4,1.14,GR,1737658387
228,novo aripuana,-5.1206,-60.3797,29.91,67,31,1.25,BR,1737658388
229,oujda-angad,34.6805,-1.9076,14.35,47,0,0.51,MA,1737658389
230,tual,-5.6667,132.75,28.22,74,100,2.26,ID,1737658390
231,illizi,26.4833,8.4667,18.77,10,13,2.6,DZ,1737658391
232,calbuco,-41.768,-73.1273,16.88,62,96,1.99,CL,1737658393
233,klaksvik,62.2266,-6.589,5.97,79,86,11.91,FO,1737658394
234,i-n-salah,27.1935,2.4607,22.24,10,100,2.92,DZ,1737658395
235,cannonvale,-20.2833,148.7,27.66,83,11,4.02,AU,1737658396
236,cuitlahuac,18.8167,-96.7167,23.08,54,45,1.7,MX,1737658397
237,dwarka,22.2394,68.9678,20.66,51,4,5.79,IN,1737658398
238,malvan,16.0667,73.4667,24.31,69,100,4.67,IN,1737658399
239,kalaswala,32.2009,74.6491,10.73,38,0,2.21,PK,1737658400
240,mount isa,-20.7333,139.5,31.87,48,75,6.69,AU,1737658401
241,page,36.9147,-111.4558,2.84,23,0,3.13,US,1737658402
242,codrington,-38.2667,141.9667,14.1,69,100,5.03,AU,1737658403
243,tazovsky,67.4667,78.7,-29.63,100,91,2.73,RU,1737658404
244,usinsk,65.9939,57.5281,-11.82,95,100,7.64,RU,1737658406
245,cestos city,5.46,-9.5828,27.72,80,11,4.98,LR,1737658407
246,isafjordur,66.0755,-23.124,3.02,52,40,2.06,IS,1737658408
247,daltonganj,24.0333,84.0667,16.49,53,5,1.06,IN,1737658409
248,port alfred,-33.5906,26.891,21.77,89,38,2.24,ZA,1737658410
249,olenino,56.2092,33.4889,-2.24,95,99,3.51,RU,1737658411
250,nadvoitsy,63.8667,34.3167,-14.25,96,31,2.16,RU,1737658412
251,zhezqazghan,47.7833,67.7667,-30.78,94,18,2.48,KZ,1737658413
252,changyon,38.2508,125.0961,-1.65,48,87,1.04,KP,1737658415
253,atherton,53.5237,-2.4935,6.61,67,53,1.79,GB,1737658417
254,taoudenni,22.6783,-3.9836,25.66,9,100,2.31,ML,1737658418
255,lubao,14.9167,120.55,25.84,86,84,2.5,PH,1737658419
256,dhidhdhoo,6.8833,73.1,24.91,91,100,5.79,MV,1737658420
257,buenos aires,-34.6132,-58.3772,34.91,42,7,4.47,AR,1737658253
258,gubat,12.9206,124.1231,25.63,89,91,2.36,PH,1737658422
259,birobidzhan,48.8,132.95,-23.09,100,3,1.11,RU,1737658423
260,vanimo,-2.6741,141.3028,24.99,92,99,1.7,PG,1737658424
261,iskateley,67.6803,53.1512,-14.25,97,100,2.26,RU,1737658425
262,anadyr,64.75,177.4833,-13.72,84,100,1.79,RU,1737658426
263,general acha,-37.377,-64.6043,33.72,20,100,6.47,AR,1737658427
264,midvagur,62.0511,-7.1939,5.46,81,75,10.8,FO,1737658428
265,la paz,-16.5,-68.15,10.99,87,75,2.57,BO,1737658430
266,san antonio de pale,-1.4014,5.6325,26.34,78,96,3.82,GQ,1737658431
267,igoumenitsa,39.5039,20.2656,11.6,81,100,2.58,GR,1737658432
268,teshi old town,5.5836,-0.1072,28.31,89,40,5.14,GH,1737658433
269,kenai,60.5544,-151.2583,5.05,90,100,10.8,US,1737658434
270,ciudad lazaro cardenas,17.9583,-102.2,28.71,45,0,3.72,MX,1737658435
271,urengoy,65.9667,78.3667,-29.24,96,11,2.92,RU,1737658436
272,lodwar,3.1191,35.5973,30.43,29,27,0.95,KE,1737658437
273,can,40.0333,27.0524,6.77,85,1,1.32,TR,1737658438
274,kone,-21.0595,164.8658,23.61,88,90,1.13,NC,1737658439
275,markaz-e hukumat-e darweshan,31.1323,64.1934,7.81,51,55,1.65,AF,1737658441
276,launceston,-41.45,147.1667,13.8,94,75,3.6,AU,1737658442
277,fort bragg,35.139,-79.006,3.84,38,20,2.06,US,1737658443
278,berezovyy,51.6667,135.7,-21.89,96,0,1.65,RU,1737658444
279,huilong,31.8111,121.655,7.52,85,100,3.71,CN,1737658445
280,menomonie,44.8755,-91.9193,-12.95,56,0,5.66,US,1737658446
281,semporna,4.4818,118.6112,24.59,94,100,0.81,MY,1737658447
282,kabalo,-6.05,26.9167,21.37,95,43,1.45,CD,1737658448
283,villa regina,-39.1,-67.0667,32.21,14,98,2.68,AR,1737658449
284,kaga bandoro,6.9896,19.1874,28.16,15,30,0.8,CF,1737658450
285,qui nhon,13.7667,109.2333,18.45,89,33,2.15,VN,1737658451
286,diplo,24.4667,69.584,16.44,17,0,5.1,PK,1737658452
